white,black,time_ratio_mean
nega-center-3,nega-pieces-3,26.021557264554758
nega-center-3,random,74614.62781854489
mcts-05-10k-epsilon-75,mcts-10-10k-epsilon-75,0.6216206112073379
nega-pieces-1,mcts-05-10k-epsilon-75,0.000060325022994833125
nega-pieces-1,mcts-05-10k-epsilon-95,0.00010087678327593363
mcts-05-10k-epsilon-95,nega-attack-3,2.076103935984896
nega-pieces-1,mcts-05-10k-random,0.00012054336753432714
nega-pieces-1,mcts-10-10k-epsilon-75,0.000038407107596158166
nega-pieces-1,mcts-10-10k-epsilon-95,0.00007113375187651471
nega-pieces-1,mcts-10-10k-random,0.00010723132811350044
nega-pieces-1,mcts-full-1k-random,0.00008026809668037335
nega-pieces-1,nega-aggro-1,0.14574466836879535
nega-pieces-1,nega-aggro-2,0.006705880679626816
nega-pieces-1,nega-aggro-3,0.00027528381088176405
nega-pieces-1,nega-attack-1,0.04589890919616861
nega-pieces-1,nega-attack-2,0.002481555226950101
mcts-05-10k-epsilon-95,nega-center-1,969.3718113259368
nega-pieces-1,nega-attack-3,0.00010040573003907395
nega-pieces-1,nega-center-1,0.12750315801117373
nega-pieces-1,nega-center-2,0.007337055353578236
nega-pieces-1,nega-center-3,0.00031205940426412267
nega-pieces-1,nega-pieces-1,1.1395033574829954
nega-pieces-1,nega-pieces-2,0.13297260829859753
nega-pieces-1,nega-pieces-3,0.008422122711700565
nega-pieces-1,random,38.035329283569965
nega-pieces-2,mcts-05-10k-epsilon-75,0.000307984279103667
nega-pieces-2,mcts-05-10k-epsilon-95,0.00048380397428499897
mcts-05-10k-epsilon-95,nega-center-2,118.05204911482136
nega-pieces-2,mcts-05-10k-random,0.0006491278558311937
nega-pieces-2,mcts-10-10k-epsilon-75,0.00018869727617653803
nega-pieces-2,mcts-10-10k-epsilon-95,0.0003674167241777282
nega-pieces-2,mcts-10-10k-random,0.0004952669775136936
nega-pieces-2,mcts-full-1k-random,0.0004180046843352732
nega-pieces-2,nega-aggro-1,0.8811734689512416
nega-pieces-2,nega-aggro-2,0.07619441339628594
nega-pieces-2,nega-aggro-3,0.004587354891917644
nega-pieces-2,nega-attack-1,0.31124761072901863
nega-pieces-2,nega-attack-2,0.02001958582864363
mcts-05-10k-epsilon-95,nega-center-3,6.725152293100393
nega-pieces-2,nega-attack-3,0.0012368502649490606
nega-pieces-2,nega-center-1,0.6455168811610598
nega-pieces-2,nega-center-2,0.05447527120277472
nega-pieces-2,nega-center-3,0.004586175251247484
nega-pieces-2,nega-pieces-1,9.900528307333166
nega-pieces-2,nega-pieces-2,0.9737162794711887
nega-pieces-2,nega-pieces-3,0.11219432838282287
nega-pieces-2,random,199.8168507853974
nega-pieces-3,mcts-05-10k-epsilon-75,0.005210952658826334
nega-pieces-3,mcts-05-10k-epsilon-95,0.007584104841292493
mcts-05-10k-epsilon-95,nega-pieces-1,10328.61662916143
nega-pieces-3,mcts-05-10k-random,0.01266893525150562
nega-pieces-3,mcts-10-10k-epsilon-75,0.0026006057706922264
nega-pieces-3,mcts-10-10k-epsilon-95,0.006133009591323508
nega-pieces-3,mcts-10-10k-random,0.008820526471596205
nega-pieces-3,mcts-full-1k-random,0.0070124264289310265
nega-pieces-3,nega-aggro-1,10.16423984766466
nega-pieces-3,nega-aggro-2,0.797733378212291
nega-pieces-3,nega-aggro-3,0.05315072219041802
nega-pieces-3,nega-attack-1,4.123500296264213
nega-pieces-3,nega-attack-2,0.18111293981474139
mcts-05-10k-epsilon-95,nega-pieces-2,2742.286405887183
nega-pieces-3,nega-attack-3,0.019708950778093988
nega-pieces-3,nega-center-1,11.483205718770863
nega-pieces-3,nega-center-2,0.7429920822988322
nega-pieces-3,nega-center-3,0.04035168218264805
nega-pieces-3,nega-pieces-1,149.9998780617139
nega-pieces-3,nega-pieces-2,10.783256844401555
nega-pieces-3,nega-pieces-3,1.067027408223081
nega-pieces-3,random,3604.156734101916
random,mcts-05-10k-epsilon-75,0.0000017695326609381178
random,mcts-05-10k-epsilon-95,0.000003327166966826466
mcts-05-10k-epsilon-95,nega-pieces-3,157.83565402234052
random,mcts-05-10k-random,0.000004089864183257774
random,mcts-10-10k-epsilon-75,0.0000010541829405561919
random,mcts-10-10k-epsilon-95,0.000002353011709838937
random,mcts-10-10k-random,0.000003344497476371213
random,mcts-full-1k-random,0.000002542089096477598
random,nega-aggro-1,0.0030221405864134278
random,nega-aggro-2,0.00028809051466393524
random,nega-aggro-3,0.000017342122955422256
random,nega-attack-1,0.0009412690810683064
random,nega-attack-2,0.0001061054327896955
mcts-05-10k-epsilon-95,random,309322.46309757646
random,nega-attack-3,0.000004597660061288644
random,nega-center-1,0.002746319442834726
random,nega-center-2,0.0002736119261578736
random,nega-center-3,0.000012377915175764126
random,nega-pieces-1,0.026816842562315396
random,nega-pieces-2,0.005221550349082935
random,nega-pieces-3,0.00030088375412289385
random,random,0.9824467160845014
mcts-05-10k-random,mcts-05-10k-epsilon-75,0.4469849141386845
mcts-05-10k-random,mcts-05-10k-epsilon-95,0.7854518188294309
mcts-05-10k-epsilon-75,mcts-10-10k-epsilon-95,1.2682770050277044
mcts-05-10k-random,mcts-05-10k-random,1.0041650519759642
mcts-05-10k-random,mcts-10-10k-epsilon-75,0.2847755722656764
mcts-05-10k-random,mcts-10-10k-epsilon-95,0.5799518497731494
mcts-05-10k-random,mcts-10-10k-random,0.81627839052884
mcts-05-10k-random,mcts-full-1k-random,0.6389466799246385
mcts-05-10k-random,nega-aggro-1,783.2357505180461
mcts-05-10k-random,nega-aggro-2,124.86789887279728
mcts-05-10k-random,nega-aggro-3,5.520960441895901
mcts-05-10k-random,nega-attack-1,280.4305477988819
mcts-05-10k-random,nega-attack-2,40.14352539316494
mcts-05-10k-epsilon-75,mcts-10-10k-random,1.822831284830367
mcts-05-10k-random,nega-attack-3,2.3924415348730985
mcts-05-10k-random,nega-center-1,789.2561406800269
mcts-05-10k-random,nega-center-2,89.74378372834235
mcts-05-10k-random,nega-center-3,6.320816591062585
mcts-05-10k-random,nega-pieces-1,9044.139135698544
mcts-05-10k-random,nega-pieces-2,1725.0236977217166
mcts-05-10k-random,nega-pieces-3,140.61377274941663
mcts-05-10k-random,random,246870.19327625696
mcts-10-10k-epsilon-75,mcts-05-10k-epsilon-75,1.5918667316740411
mcts-10-10k-epsilon-75,mcts-05-10k-epsilon-95,2.8019764938350056
mcts-05-10k-epsilon-75,mcts-full-1k-random,1.4471378880233616
mcts-10-10k-epsilon-75,mcts-05-10k-random,3.460322100418118
mcts-10-10k-epsilon-75,mcts-10-10k-epsilon-75,1.0106050248774043
mcts-10-10k-epsilon-75,mcts-10-10k-epsilon-95,2.020923734162845
mcts-10-10k-epsilon-75,mcts-10-10k-random,2.846653211750925
mcts-10-10k-epsilon-75,mcts-full-1k-random,2.3492675359414
mcts-10-10k-epsilon-75,nega-aggro-1,2615.6616876804733
mcts-10-10k-epsilon-75,nega-aggro-2,279.99357662084856
mcts-10-10k-epsilon-75,nega-aggro-3,14.29421511416244
mcts-10-10k-epsilon-75,nega-attack-1,874.6574660258135
mcts-10-10k-epsilon-75,nega-attack-2,116.40911276843602
mcts-05-10k-epsilon-75,nega-aggro-1,1578.352798682919
mcts-10-10k-epsilon-75,nega-attack-3,5.197284605315311
mcts-10-10k-epsilon-75,nega-center-1,2393.636710271512
mcts-10-10k-epsilon-75,nega-center-2,318.8564529494626
mcts-10-10k-epsilon-75,nega-center-3,17.570319326122952
mcts-10-10k-epsilon-75,nega-pieces-1,25392.28569189535
mcts-10-10k-epsilon-75,nega-pieces-2,5867.201656079316
mcts-10-10k-epsilon-75,nega-pieces-3,416.84860542879204
mcts-10-10k-epsilon-75,random,917875.123377086
mcts-10-10k-epsilon-95,mcts-05-10k-epsilon-75,0.789407812778513
mcts-10-10k-epsilon-95,mcts-05-10k-epsilon-95,1.3679876265506292
mcts-05-10k-epsilon-75,nega-aggro-2,206.30105346510044
mcts-10-10k-epsilon-95,mcts-05-10k-random,1.7291737203330224
mcts-10-10k-epsilon-95,mcts-10-10k-epsilon-75,0.48428915257537
mcts-10-10k-epsilon-95,mcts-10-10k-epsilon-95,0.9968211709710216
mcts-10-10k-epsilon-95,mcts-10-10k-random,1.4123052220619303
mcts-10-10k-epsilon-95,mcts-full-1k-random,1.1379821227937028
mcts-10-10k-epsilon-95,nega-aggro-1,1289.3277007514946
mcts-10-10k-epsilon-95,nega-aggro-2,175.47341787604296
mcts-10-10k-epsilon-95,nega-aggro-3,8.194418579358082
mcts-10-10k-epsilon-95,nega-attack-1,458.3835696851958
mcts-10-10k-epsilon-95,nega-attack-2,66.94779936855043
mcts-10-10k-epsilon-95,nega-attack-3,4.2019840075416734
mcts-10-10k-epsilon-95,nega-center-1,1294.8947695478766
mcts-10-10k-epsilon-95,nega-center-2,173.70779880352126
mcts-10-10k-epsilon-95,nega-center-3,9.819381041160696
mcts-10-10k-epsilon-95,nega-pieces-1,12714.829994708532
mcts-10-10k-epsilon-95,nega-pieces-2,3914.5248342906693
mcts-10-10k-epsilon-95,nega-pieces-3,189.48574571680265
